銘柄コード,売り上げ高(2019),売り上げ高(2020),売り上げ高(2021),営業益(2019),営業益(2020),営業益(2021),営業利益率(2019),営業利益率(2020),営業利益率(2021),ROE(2019),ROE(2020),ROE(2021)
6235,"44,763","42,822","37,000","10,690","10,879","9,400",23.88,25.41,25.41,30.58,28.95,19.45
6563,"3,596","4,155","5,000",128,77,120,3.56,1.85,2.40,13.06,5.25,9.23
3540,"25,806","28,763","33,900","1,916","2,100","3,300",7.42,7.30,9.73,14.78,14.68,17.22
3998,935,"1,141","1,625",202,64,468,21.60,5.61,28.80,17.70,4.95,27.78
3999,"2,159","2,118","2,408",120,-20,31,5.56,-0.94,1.29,7.80,-0.61,1.01
6562,"14,954","14,348","15,580",-310,-91,186,-2.07,-0.63,1.19,-18.41,-6.78,5.54
2334,"1,955","1,844","1,400",78,26,-299,3.99,1.41,-21.36,5.22,0.00,-28.75
6561,"7,891","6,593",－,918,270,－,11.63,4.10,－,9.72,-14.39,－
6560,"2,989","3,790","5,500",270,307,450,9.03,8.10,8.18,15.37,14.11,15.02
7198,"23,844","26,202","27,300",－,－,－,－,－,－,19.08,19.70,16.91
3486,"22,644","25,086","27,000","1,209","1,564","1,300",5.34,6.23,4.81,27.65,25.02,14.97
3611,"63,402","57,112","50,000","3,361","2,603","3,200",5.30,4.56,6.40,16.20,5.28,11.85
6698,"3,565","3,470","3,480",543,463,440,15.23,13.34,12.64,19.05,12.21,9.10
